Word,Count
fechar,4
eleitorado,27
petista,91
fake,53
kkkkkk,97
adimiro,1
preciso,68
ajuda,41
varios,5
presidenciáveis,45
programa,113
porém,44
presidenciável,41
experiente,11
preparado,58
equilibrado,5
emocionalmente,3
espero,77
armado,10
tenda,1
vi,186
indignação,23
isento,13
dizimar,1
populacao,1
milhoes,5
malucasso,1
jornalista,108
diminuindo,8
ja,100
expliquei,2
entendeu,53
manifestação,12
bestão,1
indelicadeza,1
Patrícia,5
conta,132
Europa,1
namorada,1
pediu,10
explicou,13
deveria,112
econômica,42
basicamente,9
sobra,10
morar,11
quiserem,2
comida,10
roendo,1
tijolos,1
pagar,46
casa,76
roída,1
Sinónimo,1
comunismo,111
adoram,5
Roberto,14
Cláudio,1
Alcaide,1
respeitava,1
cidadania,4
população,76
uniu,2
Ferreira,1
virando,8
DESTRUIDOR,2
Cid,11
Arialdo,1
sai,75
kkkkk,136
velha,23
espaço,26
atuais,4
sentir,8
pena,59
DESTRUINDO,6
falir,2
boicotando,2
pariu,4
democracia,134
afirmou,24
chama,125
im,2
novela,8
cor,9
pecado,3
Léo,2
eleitor,63
resposta,146
dinheiro,133
YouTube,53
Confiram,2
íntegra,14
concedida,1
site,32
passagem,11
Salvador,24
comemorações,1
independência,6
Enaldo,1
Pinto,2
perdoado,3
patético,20
estimularam,1
enfrentamento,3
truculência,9
macheza,1
levar,49
desaforo,2
estilo,18
foge,14
controle,13
esconder,12
louca,12
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,3
Treinamento,2
entrar,45
pro,196
Oludum,1
venha,26
achou,17
tava,37
correndo,14
sinto,28
acha,200
vivo,50
transeunte,1
antigo,18
vereador,13
SP,42
bicho,16
Afinal,36
ia,45
politico,44
viu,115
tipos,19
índice,11
altíssimo,2
rejeição,18
presidente,324
pseudopolítico,1
morto,22
politicamente,15
Critiquem,3
merecido,3
arrependimento,1
elevam,1
Biólogos,1
apelo,3
chamem,3
temendo,1
sofram,1
bullying,1
BRA,4
defensor,17
bandido,107
bobagem,25
termo,25
empregado,16
corretíssimo,3
kkkkkkkkkkkkkk,10
DIAGNOSTICA,1
doido,41
Entuba,1
responder,61
cidadão,46
negligenciarem,1
segurança,43
pública,33
respectivos,1
origem,4
cangaço,14
imita,4
encarcerado,3
batuqueiro,1
Cirão,88
massa,9
completamente,31
idiota,136
obviamente,6
zuando,1
boato,4
imprimir,5
robou,1
milhões,57
analogia,6
metido,17
monte,35
merda,228
bateu,9
Lacroladia,1
atacando,20
desequilibrado,55
cearense,1
conhece,54
vota,80
agride,9
homossexuais,7
vítima,19
loucura,8
sujeito,54
Boulos,84
Ei,33
aprende,13
aumentar,41
progressiva,3
dividendos,10
países,42
impressão,20
inventou,3
compara,9
vê,91
doente,30
republiquei,1
maio,9
irrelevante,9
errou,10
comoção,5
depoimento,6
ferrou,3
durmo,1
parando,3
melhorcomentario,1
Sarney,9
Oloko,1
Metralhadora,13
continuo,9
entendendo,9
FIEC,1
apoiva,1
bolsominion,59
porco,6
poucas,9
hahahahahahahahaahahahahahahaha,1
irmão,57
Sobral,48
cabela,1
elite,25
Mercantilista,1
Patrimonialista,1
instrumento,2
enriquecimento,1
individual,9
eventualmente,1
preocupam,2
lógico,14
FHC,56
Serra,7
eusoulula,2
rebaixa,1
troco,7
deprimente,5
José,14
Dirceu,3
Foro,4
afirma,46
podemos,43
permitir,6
ruína,3
desesperadamente,4
procuram,2
possa,20
derrotar,5
encontram,3
conseguem,21
enganar,22
massacrando,3
revoltou,1
cheguei,7
recepção,24
digna,11
energia,11
concorre,5
participar,38
caminhada,2
homenagem,5
Julho,22
data,15
marca,13
força,77
Guerreiro,15
Catarina,1
fudendo,5
dnv,2
ficar,147
trabalhadores,60
ACS,1
ACE,1
reajuste,5
salarial,2
piso,8
Eai,1
anda,33
topo,4
maravilha,16
Ok,62
kkkk,141
CiroNão,5
Bolsonaro17,2
MitoPresidente,1
alguém,224
diferente,120
Dávila,3
muita,115
cavalo,22
vaca,9
ótimo,40
barateando,1
incluir,5
condições,27
consumir,1
básico,9
faixa,5
elevada,1
aviso,4
moderado,7
tranquilo,14
conservadores,7
dorme,5
taxação,5
aumento,23
centralização,1
inchamento,1
ladainha,5
poderia,75
mandar,31
conhecimento,35
desenvolvimentista,11
linha,18
Getúlio,7
Vargas,2
defendeu,29
mostrar,49
falado,19
pagando,47
tributário,6
justo,28
nenhum,130
oposição,37
liberal,51
mudar,116
taxar,15
invés,31
crédito,20
apresentar,20
soluções,20
debatido,1
começar,35
enviesada,1
auê,3
vitimista,4
investimento,26
industriais,7
PropostasDaIndustria,1
CiroPresidente,145
oportunidade,42
show,29
protostas,1
inovadoras,1
apresentou,11
projeto,125
trabalhista,19
retomada,4
Petrobrás,10
redução,13
escola,41
integral,3
defesa,45
senhor,119
diametralmente,1
oposto,16
gostaria,49
entender,96
conto,10
Diário,8
assessora,4
aliado,41
Câmara,13
recebe,29
salário,31
expediente,1
Brasília,31
busca,30
entendimento,6
claro,137
desenvolvimento,16
patrão,16
sincera,2
buscando,6
contrata,2
tucano,31
equipe,31
comunicação,4
surpreende,5
populismo,8
dizendo,88
Parabéns,123
ChamaOMeirelles,1
assisti,34
mentiroso,66
herença,1
evoluiu,1
falácia,18
metade,31
ligada,5
reclamando,9
Júlio,5
basta,58
cocieloracista,1
QuartaDetremuraSDV,3
fisionomia,1
jeitão,1
ditatorial,2
Coronéis,7
abaixo,23
Putin,6
bomba,12
Atômica,1
distante,9
negociação,4
raciocinar,4
acordo,32
PCC,9
facção,4
nasceu,13
gestão,21
cresceu,6
espalhou,1
ficou,65
banho,9
grossa,5
João,14
Dória,8
Márcio,2
partido,250
chamar,72
plano,41
negocia,5
ingressar,1
coligação,11
qdo,44
bem',1
liberado,7
polícia,13
Bolsonoro,1
Marinho,2
finge,7
peixe,6
puxar,8
carroça,2
acreditam,15
aeroporto,32
encher,12
porrada,21
verbais,2
ouviu,11
reproduziu,1
acreditando,14
capacidade,54
reflexão,2
estudado,9
desista,6
Estude,8
Ouça,7
novamente,39
fé,16
chega,86
seguinte,17
liberar,7
apoiar,42
assistir,40
fiquei,32
senhora,21
saiu,50
Walking,1
Dead,1
Monty,1
Python,1
minion,7
serviço,18
bozonaropercebe,1
D'Avila,5
Bozonaro,28
Jequié,1
nd,5
sabemos,38
opção,66
adepto,5
coronelismo,13
vive,66
século,16
passado,51
ProgramaDiferente,1
domina,4
quantos,13
mitagens,1
agressor,4
recista,1
bêbada,4
duvido,20
diploma,6
ri,8
fino,4
colunista,6
Franco,8
anunciou,4
assumindo,1
Ué,34
crise,55
seguido,11
confuso,9
agenda,29
assessoria,10
discuti,1
la,91
ouviremos,1
Participarão,1
Augusto,3
Fernandes,4
ENAI2018,2
Unger,2
muralhas,2
passando,22
lembrar,35
foda,60
cusão,1
ganharam,2
pão,6
mortadela,9
Kkkkkkk,85
vivaço,1
justamente,33
mata,21
pura,25
ignorância,31
coronel,159
lotou,1
hem,3
digno,8
contrário,68
imposto,93
UniãoProgressista,37
CiroEManuela,1
PDTePCdoB,1
MLK,3
aprender,27
burro,74
foder,10
sucesso,28
conquistado,5
creio,24
refere,11
sinal,22
demonstração,6
carinho,8
seletiva,10
consegui,11
encolher,2
vergonha,101
alheia,8
rsrsrs,14
maravilhado,2
noalfraudeenpuebla,1
en,18
Steam,1
erva,4
Blogue,7
escrevi,11
insano,9
saído,6
imbecil,71
Santo,19
rapaz,64
artista,13
pronunciar,5
pedir,36
lacre,10
sofrendo,3
perseguição,13
dai,8
parecendo,12
avila,2
briga,6
tentando,63
barulho,4
França,1
desiste,3
abre,12
reverso,2
raça,18
exclusividade,4
calada,6
torcedores,3
futebol,21
sofrem,4
anti,22
mercado,73
privatizações,5
pró,10
bobagens,19
repórter,15
psiquiatra,22
dado,70
empurrões,1
pescotapa,6
nela,14
the,21
BOOK,1
Table,4
of,13
CangaCiro,124
dó,8
venezuelano,16
JUDIAÇÃO,1
Deus,86
piedade,1
criticando,17
RodaViva,60
lugares,12
dica,14
Pesquise,15
internet,36
livre,33
solto,6
regulamentar,3
acredito,69
bolso,59
direito,153
escolher,40
deixa,100
levado,7
iam,4
entendido,5
tbm,103
deixei,10
comportamento,15
impedir,11
colaborador,1
chance,81
mudança,37
defende,172
William,1
Fundação,1
Leonel,1
Brizola,36
Alberto,2
Pasqualini,1
FLB,1
ap,4
SomosTodosPDT,4
