Word,Count
mto,11
blusa,1
alguem,23
fala,191
menina,12
manda,31
Deus,55
acredito,91
devo,8
RASGADO,1
daqui,31
AFF,2
Naaa,1
importa,40
tenga,8
Jamas,1
iría,1
visitarlo,1
invierno,3
jaja,8
Prezado,9
almoçar,1
hj,39
filial,2
Copacabana,2
lamento,8
informa,1
insatisfação,3
comida,7
extremamente,15
ruim,59
digo,41
consegui,6
comer,15
manifestei,1
moça,5
caixa,15
super,30
educada,4
acrescentar,4
hubiera,4
imaginado,2
Folha,12
persegue,1
bizarro,9
credibilidade,5
cagamos,1
fucking,2
visto,40
difere,3
contrariado,2
xingando,4
ofendendo,3
latindo,1
cadela,1
louca,2
ouvido,9
defendendo,25
estimação,9
coerente,21
realista,4
verdades,8
bate,11
certinho,2
estatais,61
fonte,47
cabide,4
indicações,3
estarei,10
Sergipe,11
feira,21
conversar,11
sergipanos,2
eleiçõesSTF,1
indicar,6
Floresta,1
fábrica,11
ACRE,6
entendeu,33
Paulo,48
pqp,22
notícia,39
bio,3
finalzinho,2
condiz,2
chamar,29
nacionalista,5
racista,16
importo,7
família,51
líder,16
polonês,2
repórter,4
globalista,19
Opa,17
tornou,11
caricatura,2
melancólica,2
exemplos,21
oligarquia,2
ocupa,2
devemos,15
comentando,11
postagem,13
repetir,9
mostra,18
desespero,21
tentando,27
conseguem,6
subir,15
pack,1
lacradores,3
Mantener,2
una,147
última,35
línea,4
alta,20
Francia,7
es,198
intentó,1
hubo,3
comenzar,1
practicarlo,1
mediocampistas,1
franceses,3
tienen,18
mayor,12
participación,1
gestión,1
juego,4
son,48
gestores,4
sin,50
pelota,4
mueven,2
abarcan,1
mucho,27
campo,26
centrales,1
sí,29
ensayan,1
conducciones,1
siempre,30
marcando,3
pase,13
afirmação,10
sentido,68
chama,33
eficiência,9
seguinte,11
assiste,10
nela,15
abordados,1
volta,50
gata,3
começar,29
live,11
semanal,1
tirar,57
dúvidas,21
link,21
vi,175
pág,1
copia,3
cola,7
velho,57
sair,34
pública,46
gratuita,11
razão,29
Ah,61
asno,2
Formiga,3
atômica,4
poupe,9
vergonha,74
inteligência,8
cor,12
influencia,5
daí,23
típico,14
disfarçado,7
kkkk,58
Engraçado,47
perceber,3
messias,2
barro,1
chegam,6
todis,1
desrespeitar,1
heroi,1
alucinados,1
agem,5
odiar,1
esquecem,4
profissional,18
votou,46
viu,59
químicos,1
tingir,1
afetando,1
cérebro,7
votasse,1
Bolsoanro,1
votaria,38
qq,19
andou,2
promoveu,1
herdar,2
eleitores,67
canalha,20
aproveitadora,1
sigo,16
segue,22
receberia,3
post,32
fiquei,23
vácuo,4
site,48
distinguir,2
estariam,2
aplaudindo,1
chamam,6
aberrações,2
pecado,4
terem,9
senso,9
crítico,7
ÚTEIS,1
falam,49
odeiam,4
preocupar,10
Franco,8
progresso,8
enfim,29
chegue,4
Ciro,135
creio,22
fabriquem,1
furos,1
natalidade,1
menores,12
banqueiro,68
ajudar,36
frío,2
Kkkkkkkkkkkkkkkkkkk,4
SQN,6
jogador,16
futebol,41
parecido,17
Mascherano,5
feminismo,15
pedofilia,19
apoia,52
coligações,8
pare,16
enganar,10
amigo,117
iguais,19
procura,12
defesa,30
privatização,39
partidário,4
eleitoral,24
obrigatório,1
horário,9
Foro,4
privilegiado,5
estatuto,8
desarmamento,19
eliminação,3
invariavelmente,1
Desconheço,5
defenda,8
Consulte,3
filtrando,1
proposta,211
reduzir,19
aprovação,7
substâncias,1
testadas,1
uso,32
países,38
desburocratizando,1
permitindo,5
agronegócio,3
produtivo,4
eficiente,28
Boulos,55
quase,81
mass,1
preparado,36
Manuela,134
etc,78
retórica,11
defende,97
total,53
prevê,2
Contaaa,1
logoooo,1
interagem,1
ficam,17
pera,6
presidenciavel,3
prestaatençao,1
entrar,41
contato,15
diretório,5
mail,4
org,1
BR,15
Luciano,4
Carvalho,2
servidores,7
judiciário,39
duvido,21
ache,7
município,14
compra,14
verba,20
orçamento,9
municipal,6
cabe,15
prefeito,22
cidade,38
expor,9
criticar,34
saco,24
pronto,27
direito,83
opinião,102
gente,304
prontofalei,1
dice,26
mi,84
hermano,4
tranqui,2
van,10
bien,42
LPM,4
Concurseiro,1
famosinho,1
demissão,2
repudiando,1
gov,7
haver,19
Surgieron,1
hibridación,1
inornatus,2
burti,1
híbrido,2
resultante,1
reprodujo,1
nuevo,6
formando,2
especie,3
triploide,1
3n,1
partenogénica,1
tener,24
variedad,1
cromosómica,1
recombinación,1
algún,7
genetista,1
sala,6
Hablemos,2
lagartijas,1
uniparens,1
reproducen,1
partenogenesis,1
produciendo,1
clones,1
requiere,1
cortejo,1
actuando,1
macho,5
montando,5
otra,27
conoce,4
rosquilla,1
huahuahuhauauahuahu,1
comédia,4
voltando,3
Aracaju,5
Espero,59
19h30,3
Hotel,1
candidado,4
entrevistado,61
SegundaChamada,8
MyNews,9
Parabéns,111
ótima,24
Impressionante,16
presidenciável,31
ate,14
AgiraVai,1
papo,21
Almeida,3
AgoraVai,3
ondaLaranja,5
SejaNOVO,3
Santander,2
Bradesco,2
PC,11
Mico,3
passa,70
medo,42
mostrem,1
atacam,9
esa,24
suerte,11
agarre,1
cintura,1
mira,13
donde,21
MORI,2
déjenme,1
soñar,1
xd,11
ingênuo,7
intelectualmente,3
limitado,5
fato,107
realidade,45
fique,9
tranquilo,18
reparar,1
desdenhando,2
BTG,2
Pactual,3
patrocina,1
bailando,7
posicionou,10
decisões,17
especialmente,11
Gilmar,6
Toffoli,20
vieron,3
persona,36
dulce,1
hermosa,4
existe,118
su,91
sonrisa,2
rayito,1
Luz,8
ilumina,1
existencia,2
dan,5
idea,5
increíble,5
genera,2
transmite,1
amo,23
siento,8
explotar,1
inverso,1
extinção,8
sobraria,1
investir,20
invés,35
ENRICAR,1
novidade,9
fdp,13
usado,20
pouparia,1
palavrões,2
MarianaGodoyEntrevista,6
Jair,9
Vignaedo,2
video,26
tocou,2
interrompido,64
jornalista,59
militante,37
deixa,45
desejar,4
denominar,1
apresentação,8
20h,2
Paróquia,1
Pedro,9
participarão,2
divulgue,4
gestão,50
correm,2
risco,18
morte,19
causa,49
incompetência,13
humanidade,3
atual,36
DF,11
logras,1
meter,13
clítoris,1
ven,3
necesita,6
educación,7
escolhi,5
fundamento,5
diminuir,19
privatizar,33
fizer,11
reengenharia,1
básico,7
meritocracia,6
refém,5
instalado,3
Necesito,6
hilo,7
tus,11
contar,26
historia,9
mimo,6
gato,9
salvó,1
Adorei,5
começaram,1
diferencial,6
visão,36
crítica,47
soluções,15
compromisso,21
seguir,33
ensalada,2
pasta,2
mejor,31
verano,8
probablemente,1
parcela,2
população,104
cogita,2
Datena,6
Sara,1
Winter,1
Marina,102
Tiburi,1
Collor,18
merece,42
alguien,43
llorar,3
cuenta,24
tontería,3
le,114
