Word,Count
Lamentável,232
virar,52
pior,537
arcar,5
ampara,1
provando,13
tremenda,14
porcaria,46
medo,355
Lukaku,6
meter,31
vitória,82
basta,147
rever,23
maluca,61
Davila,24
Viva,146
nivel,28
Cruzes,10
Kkkkkkkkkkkkkkkkkkk,25
saqueou,10
Bah,24
Parabéns,782
audiência,113
lacrar,80
vontade,148
ninguém,634
vê,201
fiquei,141
ranço,28
eterno,22
perguntando,77
Pelamordedeos,1
entrevistar,151
melhor,1001
estudante,36
respeito,558
digo,112
concordar,90
Max,3
época,130
professora,55
sociologia,18
olhe,39
feia,78
PSDB,112
bonde,5
feiúra,4
decadência,20
justamente,96
democracia,381
socialista,331
democrata,43
imagino,55
recebido,15
fascista,333
machista,684
bairrista,2
eletricista,5
misógino,55
homofóbico,22
alcoolista,1
branco,57
classe,135
média,22
manifestoche,14
coxinha,90
aeroporto,21
Miami,32
cidadão,158
ia,180
julgado,28
corte,48
Haia,1
difícil,296
Imagine,42
respectivas,4
what,21
ligações,5
valorização,10
CVV,2
ajuda,103
prevenção,25
suicídio,19
tornaram,10
linha,62
telefônica,2
fixa,6
celular,47
Compartilhem,5
galera,184
importante,247
alguém,790
China,56
livre,103
mercado,122
entenda,40
socialismo,343
fabiano,2
marxista,63
impossível,79
disso,422
tbm,298
porém,175
braço,21
burro,304
entender,301
quantos,96
conto,14
chamado,100
estudar,164
provavel,1
voce,190
razão,151
tema,170
precisa,541
visto,149
olhar,83
central,21
precisam,109
suficiente,80
ajuste,2
gov,12
incrementado,1
déficit,11
defendo,106
conjunto,29
defender,466
radicalmente,4
anti,63
corrupção,298
certo,497
opções,35
fiz,84
fáceis,1
achasse,1
passando,87
miss,13
lembrar,83
venho,11
jovem,144
feminista,266
acredito,221
política,846
possa,67
transformada,1
escolha,79
sigo,35
nele,79
trajetória,19
iniciada,2
estudantil,3
mandato,34
vereadora,25
2x,6
dep,16
mano,180
sabemos,100
serem,125
acabou,224
liberar,36
uso,97
países,339
comprovadamente,10
vergonha,664
prova,370
feita,135
diferente,382
filha,277
chegam,26
BSB,4
facilitado,1
escolasempartido,1
kkkkkk,398
pé,88
pato,23
mangalô,1
Rebo,1
sabia,196
humano,144
ciborgue,3
fakenews,32
kkkkkkkkmk,1
Corrigindo,25
dormira,1
kkkkkkkkkk,124
plural,13
amor,168
kkkk,498
durmurs,1
pesquisa,283
ganha,167
imagina,191
ganhando,46
Balsonaro,1
coloca,109
ordem,45
criança,552
sonho,178
juíz,14
surge,5
Lalau,1
juiz,118
condenará,1
sergiomoronacadeia,1
tempos,81
crise,83
demitem,1
quebrar,20
perderem,11
emprego,130
CLT,69
prejudica,11
empreendedor,8
evita,17
contratar,11
vivo,176
cores,13
Kkkkkkkkkkk,119
querida,151
oficialmente,11
acintosamente,1
descaradamente,13
resquício,3
pudor,9
durmo,2
fechamento,4
Kkkkkkkkkkkkk,75
ilustrar,4
consigiu,1
quantidade,86
militar,42
continua,176
mintindo,1
pararam,7
acampar,2
Curitiba,27
causa,277
bandido,327
soltaram,8
notinha,2
capciosa,5
cambada,34
alguma,404
total,144
solidariedade,109
Seguimos,10
luta,225
agroquímicos,3
tava,205
fome,116
vista,101
recuso,6
fecharei,2
pesadelo,16
indo,65
XVideos,2
nisso,139
ganham,37
Larga,35
vantagem,19
gostam,44
verdadeira,72
Carreta,1
Furacão,1
trem,9
fantasma,8
tinhoso,2
capiroto,3
profundezas,1
vdd,86
conseguem,71
positivados,1
somando,5
passam,49
Tamo,16
Bolsonaro2018,164
agressão,32
basicamente,27
sobra,30
morar,46
comida,61
roendo,1
roída,1
Sinónimo,1
forte,219
adoram,47
piorada,2
pasmo,4
charge,17
Caruso,5
peito,36
dobro,6
gasolina,20
aviãozinho,2
eleger,70
estarem,16
negativados,1
intenções,21
bonito,91
utópica,16
rs,233
porteira,3
boate,10
esqueçam,9
caralho,196
demente,63
refere,33
pessoa,744
retarda,1
aparece,66
automação,29
serve,150
demitir,10
produção,75
diminui,31
preço,84
consumidor,10
aumenta,30
base,128
diminuir,106
risco,60
trabalhador,54
imposto,276
alto,111
erro,162
Claudia,8
dê,46
